Designator,Mid X,Mid Y,Layer,Rotation
C1,91.12,54.61,Top,90.00
C10,93.98,11.11,Top,270.00
C2,69.53,54.61,Top,90.00
C3,47.94,54.61,Top,90.00
C4,26.35,54.61,Top,90.00
C5,80.33,13.97,Top,270.00
C6,58.74,13.97,Top,270.00
C7,37.15,13.97,Top,270.00
C8,15.56,13.97,Top,270.00
C9,93.98,5.08,Top,270.00
LED1,92.08,60.96,Top,180.00
LED2,70.48,60.96,Top,180.00
LED3,48.90,60.96,Top,180.00
LED4,27.30,60.96,Top,180.00
LED5,79.38,7.62,Top,0.00
LED6,57.79,7.62,Top,0.00
LED7,36.20,7.62,Top,0.00
LED8,14.61,7.62,Top,0.00
R1,87.63,50.80,Top,180.00
R10,74.30,43.18,Top,90.00
R11,52.71,43.18,Top,90.00
R12,31.12,43.18,Top,90.00
R13,84.14,17.78,Top,0.00
R14,62.55,17.78,Top,0.00
R15,41.27,17.78,Top,0.00
R16,19.37,17.78,Top,0.00
R17,77.47,8.26,Top,90.00
R18,55.88,8.26,Top,90.00
R19,34.29,8.26,Top,90.00
R2,66.04,50.80,Top,180.00
R20,12.70,8.26,Top,90.00
R21,75.56,25.40,Top,270.00
R22,53.98,25.40,Top,270.00
R23,32.38,25.40,Top,270.00
R24,10.79,25.40,Top,270.00
R25,99.06,14.61,Top,0.00
R26,94.93,14.61,Top,0.00
R27,103.51,32.07,Top,270.00
R28,101.28,32.07,Top,270.00
R29,9.84,49.85,Top,90.00
R3,44.45,50.80,Top,180.00
R30,5.71,49.85,Top,270.00
R4,22.86,50.80,Top,180.00
R5,93.98,60.33,Top,270.00
R6,72.39,60.33,Top,270.00
R7,50.80,60.33,Top,270.00
R8,29.21,60.33,Top,270.00
R9,95.89,43.18,Top,90.00
U1,95.25,53.34,Top,90.00
U10,98.11,11.11,Top,0.00
U2,73.66,53.34,Top,90.00
U3,52.07,53.34,Top,90.00
U4,30.48,53.34,Top,90.00
U5,76.20,15.24,Top,270.00
U6,54.61,15.24,Top,270.00
U7,33.02,15.24,Top,270.00
U8,11.43,15.24,Top,270.00
U9,98.11,5.08,Top,0.00
